,China,US,Sweden
Recovery rate,0.101092896,0.006805702,3.47E-05
Recovery rate,0.054913295,0.004985909,0
Recovery rate,0.042979943,0.00324938,2.28E-05
Recovery rate,0.048433048,0.005810631,0
Recovery rate,0.053672316,0.003454489,0
Recovery rate,0.027777778,0.005576562,0
Recovery rate,0.069705094,0.004174408,-0.000135765
Recovery rate,0.060773481,0.011189289,9.97E-05
Recovery rate,0.066666667,0.005156226,0
Recovery rate,0.076923077,0.004305405,2.18E-05
Recovery rate,0.045822102,0.005570647,0
Recovery rate,0.028871391,0.00282435,0
Recovery rate,0.051980198,0.007163602,0
Recovery rate,0.042394015,0.004165512,5.40E-05
Recovery rate,0.031553398,0.007139306,8.44E-05
Recovery rate,0.056097561,0.004940855,3.14E-05
Recovery rate,0.044917258,0.004595979,8.29E-05
Recovery rate,0.068396226,0.00514207,0
Recovery rate,0.065882353,0.003006941,0
Recovery rate,0.050724638,0.008290975,0
Recovery rate,0.077283372,0.004967598,4.11E-05
Recovery rate,0.063414634,0.006169769,6.97E-05
Recovery rate,0.073891626,0.006375521,9.86E-06
Recovery rate,0.051851852,0.004819483,2.91E-05
Recovery rate,0.057279236,0.006570755,9.55E-06
Recovery rate,0.06746988,0.003357227,6.69E-05
Recovery rate,0.03902439,0.007622076,9.56E-05
Recovery rate,0.031100478,0.005609892,7.65E-05
Recovery rate,0.039823009,0.006210013,3.64E-05
Recovery rate,0.068322981,0.007262642,2.68E-05
Recovery rate,0.060669456,0.004863992,5.21E-05
Recovery rate,0.049079755,0.006659559,4.22E-05
Recovery rate,0.054878049,0.003496401,2.53E-05
Recovery rate,0.054435484,0.008346666,5.91E-05
Recovery rate,0.04389313,0.005849279,1.69E-05
Recovery rate,0.056925996,0.00715864,6.22E-05
Recovery rate,0.045454545,0.007054876,3.80E-05
Recovery rate,0.067641682,0.005333948,0.000147317
Recovery rate,0.078324226,0.007230386,0
Recovery rate,0.046554935,0.00521438,0
Recovery rate,0.043243243,0.008097481,0
Recovery rate,0.051878354,0.005728314,0.000249219
Recovery rate,0.053956835,0.006010618,0.000160069
Recovery rate,0.066189624,0.008886795,0.000249027
Recovery rate,0.054249548,0.007121388,0.000254171
Recovery rate,0.045703839,0.008447088,0
Recovery rate,0.053406998,0.004119739,0
Recovery rate,0.082089552,0.010571332,0
Recovery rate,0.09922179,0.007458506,0.000356327
Recovery rate,0.069327731,0.008575993,0.000515536
Recovery rate,0.058189655,0.008847718,9.99E-05
Recovery rate,0.051502146,0.006894737,0.000338957
Recovery rate,0.037190083,0.010069535,0
Recovery rate,0.043726236,-0.0003075,0
Recovery rate,0.041237113,0.014346757,0
Recovery rate,0.047473201,0.008590618,0.000465602
Recovery rate,0.057991513,0.018392532,0.000251073
Recovery rate,0.015544041,0.004715157,0.000299162
Recovery rate,0.043735225,0.009935605,0.00025682
Recovery rate,0.035281147,0.009671625,0
Recovery rate,0.030927835,0.005335835,0
Recovery rate,0.017707363,0.010154913,0
Recovery rate,0.029772329,0.01011182,0.000494823
Recovery rate,0.042535446,0.01185372,0.000685147
Recovery rate,0.037066246,0.010090735,0.000135038
Recovery rate,0.043641836,0.008082853,0.000225873
Recovery rate,0.039341917,0.012410976,0
Recovery rate,0.049247606,0.005628505,0
Recovery rate,0.048666667,0.01024595,0
Recovery rate,0.051973684,0.008290416,0.000489249
Recovery rate,0.065035415,0.011556771,0.000330428
Recovery rate,0.079719388,0.010554473,0.00019496
Recovery rate,0.068789809,0.016297963,0.000523948
Recovery rate,0.083279949,0.011959414,0
Recovery rate,0.06496063,0.005502199,0
